movieId,title,year,genres,plot
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,"Woody is a pull-string cowboy doll and leader of a group of toys that belong to a boy named Andy Davis, which act lifeless when humans are present. With his family moving homes one week before his birthday, the toys stage a reconnaissance mission to discover Andy's new presents. Andy receives a space ranger Buzz Lightyear action figure, whose impressive features see him replacing Woody as Andy's favorite toy. Woody is resentful, especially as Buzz also gets attention from the other toys. However Buzz believes himself to be a real space ranger on a mission to return to his home planet, as Woody fails to convince him he is a toy. Andy prepares for a family outing at the space themed Pizza Planet restaurant with Buzz. Woody attempts to be picked by misplacing Buzz. He intends to trap Buzz in a gap behind Andy's desk, but the plan goes disastrously wrong when he accidentally knocks Buzz out the window, resulting in him being accused of murdering Buzz out of jealousy. With Buzz missing, Andy takes Woody to Pizza Planet, but Buzz climbs into the car and confronts Woody when they stop at a gas station. The two fight and fall out of the car, which drives off and leaves them behind. Woody spots a truck bound for Pizza Planet and plans to rendezvous with Andy there, convincing Buzz to come with him by telling him it will take him to his home planet. Once at Pizza Planet, Buzz makes his way into a claw game machine shaped like a spaceship, thinking it to be the ship Woody promised him. Inside, he finds squeaky aliens who revere the claw arm as their master. When Woody clambers into the machine to rescue Buzz, the aliens force the two towards the claw and they are captured by Andy’s neighbour Sid Phillips, who finds amusement in destroying toys. At Sid's house, the two attempt to escape before Andy's moving day, encountering Sid’s nightmarish toy creations and his vicious dog, Scud. Buzz sees a commercial for Buzz Lightyear action figures and realizes that he really is a toy. Attempting to fly to test this, Buzz falls and loses one of his arms, going into depression and unable to cooperate with Woody. Woody waves Buzz’s arm from a window to seek help from the toys in Andy’s room, but they are horrified thinking Woody attacked him, while Woody realizes Sid's toys are friendly when they reconnect Buzz's arm. Sid prepares to destroy Buzz by strapping him to a rocket, but is delayed that evening by a thunderstorm. Woody convinces Buzz that life is worth living because of the joy he can bring to Andy, which helps Buzz regain his spirit. Cooperating with Sid's toys, Woody rescues Buzz and scares Sid away by coming to life in front of him, warning him to never torture toys again. Woody and Buzz then wave goodbye to the mutant toys and return home through a fence, but miss Andy’s car as it drives away to his new house. Down the road, they climb onto the moving truck containing Andy’s other toys, but Scud chases them and Buzz tackles the dog to save Woody. Woody attempts to rescue Buzz with Andy's RC car but the other toys, who think Woody now got rid of RC, toss Woody off onto the road. Spotting Woody driving RC back with Buzz alive, the other toys realize their mistake and try to help. When RC's batteries become depleted, Woody ignites the rocket on Buzz's back and manages to throw RC into the moving truck before they soar into the air. Buzz opens his wings to cut himself free before the rocket explodes, gliding with Woody to land safely into a box in Andy’s car. Andy looks into it and is elated to have found his two missing toys. On Christmas Day at their new house, Buzz and Woody stage another reconnaissance mission to prepare for the new toy arrivals, one of which is a Mrs. Potato Head, much to the delight of Mr. Potato Head. As Woody jokingly asks what might be worse than Buzz, the two share a worried smile as they discover Andy's new gift is a puppy."
2,Jumanji,1995,Adventure|Children|Fantasy,"In 1869, two boys bury a game board in a forest near Brandford, New Hampshire. A century later, 12-year-old Alan Parrish flees from a gang of bullies to a shoe factory owned by his father, Sam, where he meets his friend Carl Bentley, one of Sam's employees. When Alan accidentally damages a machine with a prototype sneaker Carl hopes to patent, Carl takes the blame and loses his job. Outside the factory, after the bullies beat him up and steal his bicycle, Alan follows the sound of tribal drumbeats to a construction site and finds the chest, containing a board game called Jumanji. Alan takes the game home and is attempting to run away after having an argument with his father, about attending a boarding school, when his friend Sarah Whittle gives his bike back. The two begin a game of Jumanji, which acts strangely: When a player rolls the dice, the player's piece moves itself and a message appears on the board. When Alan makes his first move, he is sucked into a jungle. Although the message states that he will be freed when a five or an eight is rolled, Sarah quits the game after being attacked by African bats. Twenty-six years later, Judy and Peter Shepherd move into the Parrish house with their aunt Nora after losing their parents in a skiing accident. Judy and Peter hear Jumanjis drumbeats and play the game in the attic, and as a result, giant mosquitoes attack them, and reddish-orange monkeys destroy their kitchen. Realizing that everything will be restored when the game ends, they continue the game despite the danger. Peter rolls a five, releasing both a lion and Alan, who is now an adult. Alan locks the lion in a bedroom, then goes to the now closed shoe factory. On the way, he meets Carl, working as a police officer, and discovers that the town's economy was devastated by the factory's closure. In the factory, a homeless man reveals that Sam abandoned the business to search for his son until his death in 1991. Alan joins the game with Judy and Peter, but when rolling the dice has no effect on the board, Alan realizes they are continuing the game he and Sarah started years ago. Finding Sarah at her house, Alan tricks her into rejoining the game, and the following moves release man-eating vines from a giant flower, a big-game hunter named Van Pelt who has it out personally for Alan, and an animal stampede . Among other things, Peter transforms into a monkey after trying to cheat; Peter, Sarah and Judy battle Van Pelt in a local department store; a monsoon floods the house; a crocodile attacks the group; an earthquake breaks the house in two; Alan is sucked into the floor by quicksand; large poisonous spiders come out; and Judy is shot by a poisonous barb from a flower. Finally, Alan wins the game just in time when Van Pelt is about to shoot him, causing all jungle elements to be sucked back into the board. After that, Alan and Sarah suddenly find themselves back in 1969 again, once again children, but with full knowledge of their lives after they started playing. Alan reconciles with Sam and admits to his father that he was the one who damaged the machine. Carl gets his job back, and Sam allows his son to attend a local school if he wishes to do so. Alan and Sarah chain up the Jumanji board and throw it into a river, where they kiss before leaving. Twenty-six years later, Alan and Sarah are married and expecting for their first child, Alan has taken over the shoe business, Carl still works in the factory as the plant supervisor, and Sam is retired, but still alive. When Judy, Peter, and their parents meet with Alan and Sarah at a Christmas party, they offer Judy and Peter's father a job in the shoe company, also discouraging them from going on the ski trip, that would've killed them. Meanwhile, two French-speaking girls hear drumbeats as they walk along a beach, where the Jumanji board is half buried in the sand."
3,Grumpier Old Men,1995,Comedy|Romance,"The lifelong feud between Max  and John  has cooled; they continue to call each other ""moron"" and ""putz"", only now with affection. Their children, Melanie  and Jacob , have become engaged after a brief relationship. Meanwhile, John is enjoying his marriage to wife Ariel , which occurred at the end of the first film. The spring and summer fishing season is also in full swing in Wabasha, Minnesota, with the annual quest to catch ""Catfish Hunter"", the lake's largest catfish, consuming the fishing community. However, the local bait shop closed after the death of its proprietor Chuck in the first film. New arrival to Wabasha, Maria Ragetti , has purchased the building with the intent of converting it into a fancy Italian restaurant. Max and John join forces to try to sabotage the restaurant and succeed to a point, enough to make Ariel force John to go over to the restaurant and apologize to Maria for what he's done. Originally, John doesn't want to do it, and is encouraged by Max to tell Ariel so, which results in John moving in with Max as Ariel throws him out of the house. John eventually breaks down, and goes to apologize to Maria after realizing that Max lives a slovenly  lifestyle at his home. Things go awry, however, when John and Maria trade shots of grappa over the conversation. He tells her that he's happily married with Ariel for six months. Maria mentions that her marriage with Antonio ended badly before it began. Eventually, John drinks too much and passes out, waking up the next morning in the restaurant, leading Ariel and Max to believe that the two slept together. However, Maria's mother Francesca  stops the confrontation by revealing three things; the first is that she and John's father are in a relationship, Maria has no interest in John and is in fact infatuated with Max, to everyone's surprise. While out in his boat one day Max finds Maria on the lake fishing, and the shared interest helps to begin a romance between the two. However, Maria calls it off, thanks to Francesca reminding her of five failed marriages in the past, and Max is bewildered and disappointed. To complicate things further, Jacob and Melanie's wedding plans are causing the couple stress because of their fathers' apparent inability to plan a proper wedding. After John decides to book ""Handsome Hans"", Wabasha's ""polka king"" for the wedding, Melanie finally snaps and she and Jacob get into a huge argument, which results in the wedding being called off and the two to live separately. Upon hearing the news, John and Max call off their truce and reignite their feud. Once again, Max and John resort to childish pranks to get back at each other, which include: Max broadcasting a video of John sitting still, naked, for a statue Ariel was making of him, Max disconnecting John's outboard motor, John cutting Max's fishing net and boat anchor line, and John's cat Slick spending the night inside Max's truck clawing the ""authentic imitation leather"" on the seats. This leads to the climax of the feud. Max adopts a one-eyed bulldog named Lucky, who chases Slick into John's house, messing up the house, and causing the statue of John to break. Seeing the destruction of the statue, Ariel moves out, telling John she isn't coming back until the two are done fighting. In addition, Max had another date scheduled for Maria, but her mother will not let her go because Maria has been heartbroken five times in her past marriages and she fears that Max will make it six. Maria does not show up for their date and Max tries in vain to get in contact with her. Saddened over Ariel leaving and moving in with Melanie, John goes to the lake to fish with his father  and get some advice of what to do about what had just happened. However, Grandpa has died on the couch he used to fish on. At his funeral, his ashes are scattered in the lake, in front of everyone. Max and John call off their feud again when they bond over John's father. The two also help Jacob and Melanie reunite after their brief estrangement and the wedding is apparently back on. Before leaving to reconcile with Ariel, John convinces Max to try again with Maria, telling him to ""park that stupid pride of his"" and tell her how he really feels. Max decides to visit Maria at Ragetti's. Max stops to see Maria, but her mother refuses to let him in. He doesn't give up and comes in anyway by telling Francesca that he refuses to leave until he sees her. Maria doesn't want to see him, but she eventually comes out. She comes clean by telling Max the truth on how many times she's actually been married. He was only aware of one marriage, to a man named Antonio and could be implied that John told him about it. Max decides then to explain to Maria he's not like the other 5 men she was with and that he knows how to treat a lady. In telling her how he truly feels, the two rekindle their romance. Much like the first film, a wedding is to take place at the end. On the way to the wedding, however, Max and John see a fellow fisherman named Sven, who has come in contact with Catfish Hunter and is staggering around bewildered after being unable to catch him. Max convinces John that they should take one more try at catching the fish, considering his boat is nearby. John agrees, and the two set out to catch Catfish Hunter in spite of all the damage John did to Max's boat earlier in the film. The two manage to reel in the large catfish and have him in the boat, but John says that they should throw him back. Max thinks he's nuts, but John reminds him that his father had been trying to catch Catfish Hunter for twenty years, and the two should be in the lake together. Therefore, Catfish Hunter is returned to the lake and the duo rushes to the church for the wedding, which turns out to be Max's wedding to Maria . Max and Maria are wed and drive away in the limousine to their reception to be held at Maria's restaurant, which will also serve as the town's bait shop again. As in the first film, a trick is played on the newlyweds in the limo on the way to the reception. Max and Maria were kissing and looked up to see Lucky looking back. They are startled at first, but realized that they're smelling Lucky. John had put the dog in the front seat to stink up the limo as revenge for the prank Max pulled on him with a dead fish."
4,Waiting to Exhale,1995,Comedy|Drama|Romance,"Waiting to Exhale is a story about four African-American women &mdash; Savannah, Robin, Bernie, and Gloria &mdash; who go through different stages of love and life. Savannah ""Vannah"" Jackson is a successful television producer who holds on to the belief that one day her married lover will leave his wife for her. Bernadine ""Bernie"" Harris, abandons her own career dreams and desire of having a catering business to raise a family, and support her husband, who leaves her for a white woman. Robin Stokes is a high-powered executive and the long-time mistress of married Russell, who has problems finding a decent man of her own after dumping him. Gloria ""Glo"" Matthews is a beauty salon owner and single mother. After years alone, and finding out that her ex-husband who is also the father of her son, has come out of the closet as gay, she falls in love with a new neighbor, Marvin King. The four friends get together to provide support, listen to each other vent about life and love, and have fun, as they go through life's trials and tribulations. Savannah ends up dumping her married lover for good. Bernadine gets a big divorce settlement from her ex-husband. Robin ends up pregnant by her married lover, but dumps him and decides to raise the baby on her own. Gloria lets her son go on the ""Up With People"" trip to Spain and apologizes to her neighbor for snapping at him when he suggested that she should let her son grow up and experience the world. The film ends with the four women celebrating around a fire at the beach."
5,Father of the Bride Part II,1995,Comedy,"George Banks must accept the reality of what his daughter's ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of ""rebirth"" of his attitude on life when he and his wife, Nina, find how their lives are about to change as well after the couple unexpectedly becomes pregnant. George must now contend not only with his new status as a grandfather, but to also begin again as a new parent just as he was preparing for retirement and an empty nest for him and Nina."
6,Heat,1995,Action|Crime|Thriller,"Career criminal Neil McCauley  and his crew—Chris Shiherlis , Michael Cheritto , Trejo , and new member Waingro ([[Kevin Gage —perpetrate an armored car heist, stealing $1.6 million in bearer bonds from money launderer Roger Van Zant . During the heist, Waingro impulsively kills one of the guards, forcing the crew to eliminate the remaining two guards out of necessity. An infuriated McCauley tries to kill Waingro afterwards, but he escapes. McCauley's fence Nate  sets up a meeting with Van Zant to sell the bonds back. Van Zant ostensibly agrees but instructs his men to kill McCauley as a warning to other thieves. With backup from his crew, McCauley thwarts the ambush and vows revenge. Lieutenant Vincent Hanna  of the LAPD Robbery-Homicide Division heads the investigation of the armored car heist and learns McCauley's crew plans to rob a precious metals depository next. Hanna and his unit stake out the depository, but when an officer inadvertently makes a noise, McCauley is tipped off, and the crew abandons the robbery. Despite the police surveillance, McCauley and his crew decide to go through with a bank holdup with an estimated $12 million payoff. Waingro is revealed to be a serial killer of prostitutes, with his latest victim falling under Hanna's jurisdiction. Hanna discovers that his wife Justine  is having an affair and moves to a hotel, and McCauley catches Charlene Shiherlis  cheating on Chris with Alan Marciano , a Las Vegas liquor salesman with a criminal past. Hanna deliberately intercepts McCauley during a surveillance operation and invites him to coffee, where he concedes the problems of his personal life; his concern for his depressed stepdaughter Lauren  and the failure of his third marriage due to his obsession with work. Likewise, McCauley confesses that life as a criminal forbids attachments and stresses mobility, making his relationship with his girlfriend Eady  tenuous. Having met face to face, Hanna and McCauley share a mutual respect but readily admit that neither will hesitate to kill the other if the circumstances demand it. Trejo is compromised just hours before the bank robbery. In need of a new getaway driver, McCauley recruits Donald Breeden , an ex-convict frustrated with his demoralizing position as a short order cook at a diner. Hanna's unit is alerted to the robbery in-progress by a confidential informant and surprises McCauley's crew as they exit the bank. Cherrito, Breeden, and several police officers, including Detective Bosko , are killed in the ensuing shootout. McCauley narrowly escapes with an injured Chris, who had been shot in the shoulder by Detective Cassals , and leaves him with a doctor  to treat his wounds. He tracks down Trejo, whom he finds at his home beaten to a bloody pulp. Trejo admits that Van Zant's men called in the tip on the robbery from information Waingro provided. McCauley finishes off Trejo at his own request, then hunts down and kills Van Zant. He makes new arrangements to flee to New Zealand with Eady, who is now fully aware of his criminal activities. The police surveil Waingro in a hotel near Los Angeles International Airport, and Hanna attempts to bait McCauley into coming out of hiding by releasing Waingro's whereabouts to the network of bookies, bail bondsmen, and snitches he hopes will spread the word. Charlene leaves Chris and goes with Marciano to a police safe house, where Sergeant Drucker  threatens to charge her as an accomplice and to send her son to a foster home if she does not betray Chris to the police. Charlene initially agrees, but, when Chris shows up in disguise, she surreptitiously warns him about the police presence, and he slips through the dragnet. Hanna finds Lauren unconscious in his hotel room from a suicide attempt and rushes her to the hospital. As he and Justine wait in the lobby for the news of her recovery, they admit their marriage will never work. McCauley and Eady are en route to the airport when Nate calls with Waingro's location, and the temptation proves to be too much for the normally disciplined McCauley, who risks his assured freedom by detouring to exact his revenge. McCauley infiltrates the hotel, creates a distraction by pulling a fire alarm, and kills Waingro. Moments away from escape, he is forced to abandon Eady when he spots Hanna approaching in the crowd. Hanna chases McCauley into a field outside the LAX freight terminal, and mortally wounds him. He then holds McCauley's hand as he dies."
7,Sabrina,1995,Comedy|Romance,"Sabrina Fairchild  is the young daughter of the Larrabee family's chauffeur, Thomas ([[John Wood , and has been in love with David Larrabee  all her life. David is a playboy, constantly falling in love, yet he has never noticed Sabrina, much to her dismay. Sabrina travels to Paris for a fashion internship at Vogue  and returns as an attractive, sophisticated woman. David, after initially not recognizing her, is quickly drawn to her despite being newly engaged to Elizabeth Tyson , a doctor. David's workaholic older brother Linus  fears that David's imminent wedding to the very suitable Elizabeth might be endangered. If the wedding were to be canceled, so would a lucrative merger with the bride's family business, Tyson Electronics, run by her father Patrick . This could cost the Larrabee corporation, run by Linus and his mother Maude , in the neighborhood of a billion dollars. Linus tries to redirect Sabrina's affections to himself and it works. Sabrina falls in love with him, even though she quotes others as calling Linus ""the world's only living heart donor"" and someone who ""thinks that morals are paintings on walls and scruples are money in Russia."" In the process, Linus also falls in love with her. Unwilling to admit his feelings, Linus confesses his scheme to Sabrina at the last minute and sends her back to Paris. But he is induced to pursue her there by chiding from his mother and a newly aware David, who steps into his shoes at the Larrabee corporation."
8,Tom and Huck,1995,Adventure|Children,"The film opens with Injun Joe  accepting a job from Doctor Robinson . Then Tom Sawyer  is running away from home. He and his friends ride down the Mississippi River on a raft, but hit a sharp rock, which throws Tom into the water. His friends find him washed up on the shore, and Tom finds it was Huck Finn  who carried him to safety. Huck learns of an unusual way to remove warts - by taking a dead cat to the graveyard at night. There they witness Doctor Robinson being murdered by Injun Joe. The town drunk, Muff Potter  is framed for the murder; unfortunately, Tom and Huck had signed an oath saying that if either of them came forward about it, they would drop dead and rot. The duo then goes on a search for Injun Joe's treasure map , so they can declare Muff Potter innocent and still keep their oath. The only problem is, the map is in Injun Joe's pocket. After Injun Joe finds the first treasure, he burns the map and discovers that Tom was a witness to the murder. He finds Tom and warns him that if he ever told anybody what he knew, he will kill him. However, at the time, the entire town thought he was dead, and the friendship between Tom and Huck starts to decline because of the fact that their evidence  to prove Muff innocent, while preserving their oath, is destroyed. At the trial of Muff Potter, Tom decides that his friendship with Muff is more important than his oath with Huck and tells the truth to the court, which finds Muff innocent of all charges and goes after Injun Joe. As a result, Injun Joe decides to hold up his end of the bargain by killing Tom. Huck becomes angry with Tom for breaking their oath and leaves town. During a festival the next day, a group of children, including Tom Sawyer and Becky Thatcher , a girl whom Tom has expressed romantic interest previously in the film, enter the caves where Tom and Becky become lost. They stumble upon Injun Joe  in McDougal's Cave. He traps them, but Tom and Becky manage to escape. Then they find the treasure and Tom tells Becky to go get her father and bring him back. Just then, Injun Joe finds Tom, and again tries to kill him. Huck returns to help save Tom, and battles Injun Joe, who then falls into a chasm. The boys reconcile, and are declared heroes by the people. Tom is praised on the front page of the newspaper, and Widow Douglas  decides to adopt Huck Finn."
9,Sudden Death,1995,Action,"{{Plot}} Darren McCord  is a Canadian-born firefighter with the Pittsburgh Fire Bureau who suffered a personal crisis after he was unable to save a young girl from a house fire. Now removed from active duty, Darren is the fire marshal for the Civic Arena. While attending Game 7 of the Stanley Cup Finals between the Pittsburgh Penguins and the Chicago Blackhawks with his daughter Emily  and his son Tyler , he discovers a crime operation occurring in the arena. A terrorist group led by former United States government employee Joshua Foss  is holding U.S. Vice President Daniel Binder  and several other VIPs hostage in a luxury suite. Foss has the arena wired with explosives, and plans to blow it up at the end of the game while having hundreds of millions of dollars wired into several off-shore accounts. Darren must not just stop Foss, but somehow send the game into overtime and save his children simultaneously. Darren is first pulled into the plot when Emily is kidnapped by Carla, the sole female member of the terrorists dressed as the mascot Iceberg. She witnesses Carla murder numerous people, and is spared when she runs out of ammunition. Carla places Emily in the suite with the other hostages about to be executed. Darren, who had given pursuit, is left to search in vain. Realizing she has been ""made"", Carla returns to deal with Darren and a long fight breaks out. He proves to be more than a match for Carla. Darren manages to kill Carla by kicking her into a large dishwasher, which pulls on her penguin's head strap and strangles her. Darren finds a security guard, but this man is a hostile in disguise. He gets the upper hand this time, though, and forces information out of the thug before stabbing him in the neck. Darren heads up to the executive offices and finds a mobile phone, with which he calls the police. They put him in touch with Secret Service Agent Matthew Hallmark , who advises that Darren stand by while the agents take charge. He angrily refuses, saying that he will handle this himself. The Secret Service and the Pittsburgh Police team up to surround and cordone off the arena and a standoff ensues. Meanwhile, Darren manages to find a few of the bombs and disable them, whilst Foss goes about killing several hostages. Eventually, Hallmark manages to sneak inside and meet with Darren. It quickly transpires that Hallmark is yet another puppet of Foss's, influenced by money. Darren kills Hallmark and uses Hallmark's phone to contact Foss, who taunts the man with the news that he is holding his daughter captive. As time quickly ticks down, Darren manages to disable more bombs, but is severely slowed by confrontations with Foss' men. At one point, the fire marshal must pretend to be the Pittsburgh goalie to escape the thugs and ends up successfully defending a shot. The third period runs down, and with the Penguins down by one goal, Luc Robitaille scores the equalizer in the last second, bringing the game to sudden death&mdash;prolonging the game, but only until the next goal is made. Darren decides that there's no time left to find the remaining bombs and climbs up to the roof of the arena. He advances upon the owner's box from above and forces his way in, rescuing Emily and the remaining hostages. Foss manages to escape and blend in with the chaos that has ensued by one of Foss' henchmen falling from the roof through the score display earlier and blowing it up. Foss sets off one of the bombs, flooding part of the arena, and recaptures Emily when she recognizes him. They head up towards the top of the arena, where a helicopter is waiting to lift Foss away. Darren intervenes and saves his daughter. As Foss flees, a wounded Darren shoots the pilot through the floor. The pilot falls back taking the joystick with him, stalling out the chopper and screaming Foss dies as the chopper goes into the arena and explodes on impact with the ice. As Darren is being led to a waiting ambulance, his son and daughter comment to the paramedics about how their father is a hero, while Tyler had before told Emily that their father was too scared to be a fireman again. A contented Darren is put inside the ambulance as the film ends."
10,GoldenEye,1995,Action|Adventure|Thriller,"In 1986, MI6 agents James Bond – agent 007 – and Alec Trevelyan – agent 006 – infiltrate an illicit Soviet chemical weapons facility at Arkhangelsk and plant explosive charges. Trevelyan is shot by Colonel Arkady Ourumov, but Bond steals an aeroplane and flees from the facility as it explodes. Nine years later, Bond arrives in Monte Carlo to follow Xenia Onatopp, a suspected member of the Janus crime syndicate, who has formed a suspicious relationship with a Royal Canadian Navy admiral. She murders the admiral to allow Ourumov  to steal his identity. The next day they steal a prototype Eurocopter Tiger helicopter that can withstand an electromagnetic pulse. They fly it to a bunker in Severnaya, where they massacre the staff and steal the control disk for the dual GoldenEye satellite weapons. They program one of the GoldenEye satellites to destroy the complex with an electromagnetic pulse, and escape with programmer Boris Grishenko. Natalya Simonova, the lone survivor, contacts Boris and arranges to meet him in St. Petersburg, where he betrays her to Janus. In London, M assigns Bond to investigate the attack. Bond flies to St. Petersburg to meet CIA agent Jack Wade. He suggests Bond meet Valentin Zukovsky, a Russian Mafia head and business rival of Janus. After Bond gives him a tip on a potential heist, Zukovsky arranges a meeting between Bond and Janus. Xenia is sent to meet Bond at his hotel and attempts to kill him, but he overpowers her and she takes him to Janus. Bond meets Janus who reveals himself as none other than Alec Trevelyan, now badly scarred from the explosion at Arkhangelsk. A descendant of the Cossack clans who collaborated with the Nazi forces in World War II, Trevelyan faked his death, having vowed revenge against Britain for their involvement in his parents' deaths. Just as Bond is about to shoot Trevelyan, Bond is shot with a tranquiliser dart knocking him out. Bond awakens tied up with Natalya in the Tiger helicopter programmed to self-destruct, from which the two escape. They are immediately arrested by the Russian police and are brought to the military archives, where the Russian Minister of Defence Dimitri Mishkin interrogates them. As Natalya reveals the existence of a second satellite and Ourumov's involvement in the massacre at Severnaya, Ourumov bursts into the room, shooting Mishkin. As Ourumov calls for his guards, Bond escapes into the archives with Natalya, where a firefight ensues. Simonova is captured and is dragged into a car by Ourumov. Bond steals a tank and pursues Ourumov through St. Petersburg to Janus' armoured train, where he kills Ourumov as Trevelyan escapes and locks Bond in the train with Simonova. As the train's self-destruct countdown begins, Bond cuts through the floor with his laser watch while Simonova locates Grishenko's satellite dish in Cuba. The two escape just before the train explodes. In Cuba, Bond and Natalya meet Jack Wade and trade Bond's car for Wade's aeroplane. While flying over a Cuban jungle, Bond and Simonova are shot down. As they stumble out of the wreckage, Onatopp rappels down from a helicopter and attacks Bond. After a struggle, Bond shoots down the helicopter, resulting in the death of Onatopp. Bond and Natalya then watch a lake being drained of water, uncovering a satellite dish. They infiltrate the control station, where Bond is captured. Trevelyan reveals his plan to steal money from the Bank of England before erasing all of its financial records with the remaining GoldenEye, concealing the theft and destroying Britain's economy. Meanwhile, Simonova programs the satellite to initiate atmospheric re-entry and destroy itself. As Trevelyan captures Simonova and orders Grishenko to save the satellite, Bond triggers an explosion with his pen grenade and escapes to the antenna cradle. Bond sabotages the antenna, preventing Grishenko from regaining control of the satellite, before turning and fighting Trevelyan. The two end up on the antenna platform, five hundred feet above the dish, and Bond kicks Trevelyan off the side of the platform, but grabs him by the foot and after a brief and personal exchange, Bond lets go of Trevelyan and he falls to the bottom of the pool. The cradle explodes, resulting in the deaths of both Trevelyan and Grishenko. Meanwhile, Simonova commandeers a helicopter and flees with Bond, and the couple is then rescued by Wade and a team of Marines."
